id,name,branch,semester,year,attendance,mid_term_marks,class_test_score,quiz_avg_score,assignment_completion,assignment_delay,previous_sem_gpa,backlogs,class_participation,doubt_asking,attention_level,behaviour
STU0001,Seema Yadav,CIVIL,6,3,42,34,41,34,46,6,4.2,4,1,1,1,1
STU0002,Akshay Bhatnagar,CIVIL,7,4,92,91,95,93,95,0,9.4,0,2,2,2,2
STU0003,Ishaan Malhotra,IT,2,1,38,39,37,35,61,4,4.0,4,0,1,0,0
STU0004,Ashish Mehta,EE,6,3,48,47,39,42,61,5,5.9,2,1,1,1,1
STU0005,Sneha Arora,MECH,7,4,80,54,50,63,68,2,7.8,0,1,1,1,1
STU0006,Ankita Jain,MECH,6,3,79,66,64,63,75,3,7.1,0,1,1,1,1
STU0007,Alok Verma,ECE,8,4,48,36,34,21,46,6,4.9,5,1,1,0,0
STU0008,Ankita Agarwal,CSE,1,1,45,44,25,44,53,4,4.5,3,0,1,0,0
STU0009,Harshita Chaudhary,MECH,2,1,95,84,83,95,88,0,9.3,0,2,2,2,2
STU0010,Sanchit Verma,CIVIL,4,2,91,94,91,97,95,0,8.1,0,2,2,2,2
STU0011,Rohan Saxena,ECE,5,3,37,50,44,41,40,5,4.3,4,0,1,1,1
STU0012,Sumit Arora,CIVIL,4,2,92,95,83,89,94,0,9.2,0,2,2,2,2
STU0013,Nitesh Malhotra,EE,2,1,58,37,45,35,50,6,5.6,4,1,1,1,1
STU0014,Prachi Bhatnagar,EE,7,4,71,55,51,66,63,3,6.4,1,1,1,1,1
STU0015,Yash Sharma,IT,2,1,50,30,35,33,42,3,4.8,4,1,1,0,1
STU0016,Vaibhav Rajput,CIVIL,2,1,71,60,63,70,65,2,6.7,2,1,1,1,1
STU0017,Sourabh Jain,MECH,8,4,94,86,92,93,96,0,8.9,0,2,2,2,2
STU0018,Mayank Bhatnagar,CSE,3,2,34,37,33,31,69,3,5.8,2,1,1,0,1
STU0019,Ayush Agarwal,CIVIL,5,3,61,53,56,53,70,1,6.5,2,1,1,1,1
STU0020,Vaibhav Nair,MECH,1,1,76,67,67,52,83,2,7.0,1,1,1,1,1
STU0021,Arjun Joshi,ECE,1,1,62,52,62,67,78,3,7.8,1,1,1,1,1
STU0022,Namrata Mehta,CIVIL,6,3,65,67,52,52,60,2,7.4,2,1,1,1,1
STU0023,Mohit Iyer,ECE,1,1,30,42,35,33,52,5,5.7,2,1,2,1,0
STU0024,Sanchit Srivastava,MECH,5,3,38,40,21,24,51,5,5.5,3,1,1,1,1
STU0025,Yash Gupta,MECH,6,3,80,67,55,70,81,3,6.9,0,1,1,1,1
STU0026,Tanvi Shukla,MECH,6,3,44,22,37,39,51,6,4.2,2,1,2,0,0
STU0027,Riddhi Yadav,MECH,7,4,71,53,56,52,68,1,6.9,0,1,1,1,1
STU0028,Namrata Joshi,EE,3,2,36,33,21,38,51,5,5.7,2,1,2,0,0
STU0029,Rohit Trivedi,IT,4,2,93,97,94,98,91,0,8.3,0,2,2,2,2
STU0030,Zoya Kumar,MECH,7,4,80,55,67,59,60,3,6.1,0,1,1,1,1
STU0031,Sahil Saxena,EE,3,2,45,30,49,22,63,4,4.8,5,0,1,0,1
STU0032,Srishti Patel,CSE,3,2,30,29,23,40,65,5,4.2,3,0,1,1,1
STU0033,Amit Malhotra,EE,3,2,91,80,95,89,96,0,9.4,0,2,2,2,2
STU0034,Vedant Trivedi,ECE,2,1,95,93,100,100,86,0,9.3,0,2,2,2,2
STU0035,Ankit Malhotra,CSE,7,4,30,36,41,41,42,5,4.4,5,1,2,0,1
STU0036,Anshul Reddy,ECE,4,2,87,90,84,87,94,0,9.3,0,2,2,2,2
STU0037,Kavya Shukla,IT,8,4,87,94,84,84,97,0,8.6,0,2,2,2,2
STU0038,Seema Kumar,CIVIL,3,2,85,83,85,93,100,0,8.5,0,2,2,2,2
STU0039,Bhavna Kumar,CIVIL,4,2,58,40,25,37,51,6,5.1,2,0,2,1,1
STU0040,Mohit Agarwal,EE,8,4,65,59,50,54,62,1,6.0,2,1,1,1,1
STU0041,Simran Bhatnagar,ECE,5,3,87,82,91,92,94,0,8.2,0,2,2,2,2
STU0042,Sourabh Patel,IT,8,4,46,50,21,35,51,3,4.9,3,0,2,0,0
STU0043,Sanchit Rajput,CIVIL,5,3,80,61,50,53,81,3,7.6,2,1,1,1,1
STU0044,Riddhi Kapoor,IT,1,1,38,39,37,28,59,5,5.6,5,1,1,1,0
STU0045,Bhavna Shukla,IT,8,4,73,54,65,51,76,1,6.7,2,1,1,1,1
STU0046,Namrata Bhatnagar,CIVIL,5,3,79,61,57,65,71,1,6.7,2,1,1,1,1
STU0047,Seema Sethi,CIVIL,3,2,63,54,63,55,80,3,7.6,1,1,1,1,1
STU0048,Harsh Pandey,CSE,2,1,31,49,35,36,43,5,5.8,3,1,2,1,0
STU0049,Vedant Singh,CSE,8,4,62,64,67,64,67,1,6.5,2,1,1,1,1
STU0050,Harshita Gupta,MECH,6,3,78,70,67,68,75,2,7.1,2,1,1,1,1
STU0051,Yash Pandey,ECE,5,3,63,68,69,65,75,2,7.0,2,1,1,1,1
STU0052,Nikhil Bhatnagar,CIVIL,7,4,41,37,40,24,63,4,4.4,2,0,1,0,1
STU0053,Anil Agarwal,IT,5,3,40,48,28,43,51,3,5.9,5,1,2,1,0
STU0054,Sachin Pandey,ECE,8,4,98,94,80,88,98,0,8.6,0,2,2,2,2
STU0055,Garima Bhatt,MECH,5,3,90,97,98,90,85,0,9.2,0,2,2,2,2
STU0056,Neha Shukla,IT,4,2,69,61,63,62,60,3,6.2,1,1,1,1,1
STU0057,Avni Srivastava,EE,7,4,32,46,24,49,42,3,5.4,2,0,1,0,1
STU0058,Ashish Kapoor,MECH,8,4,70,58,59,52,65,1,7.1,1,1,1,1,1
STU0059,Tushar Sethi,CIVIL,2,1,49,28,45,43,51,4,4.0,5,0,1,0,1
STU0060,Riddhi Srivastava,EE,4,2,65,58,67,58,77,2,6.2,2,1,1,1,1
STU0061,Tushar Jain,EE,7,4,100,95,95,83,100,0,8.9,0,2,2,2,2
STU0062,Sakshi Pillai,MECH,6,3,33,33,38,39,55,6,5.7,3,0,1,1,0
STU0063,Muskan Malhotra,CIVIL,5,3,70,61,57,70,67,2,7.1,2,1,1,1,1
STU0064,Ashish Chaudhary,IT,5,3,42,31,42,22,52,4,4.1,4,0,2,1,0
STU0065,Radhika Joshi,EE,1,1,71,60,63,58,69,1,7.0,0,1,1,1,1
STU0066,Udit Singh,MECH,7,4,59,29,31,41,41,3,4.9,5,1,2,1,0
STU0067,Arnav Tiwari,MECH,5,3,62,50,60,51,74,2,7.1,2,1,1,1,1
STU0068,Sarthak Rajput,IT,1,1,71,65,59,70,68,3,6.1,1,1,1,1,1
